[기간환율변동],,,,,,,,,,
,,,,,,,,,,
조회시작일, 2017-01-01 ,,,,,,,,,
조회종료일, 2017-10-20 ,,,,,,,,,
통화, USD:달러(미국) ,,,,,,,,,
고시회차, 최초 ,,,,,,,,,
조회시각, 2018-06-07 15:57 ,,,,,,,,,
,,,,,,,,,,
일자,현찰사실때,현찰파실때,송금보내실때,송금받으실때,T/C사실때,외화수표파실때,매매기준율,직전대비,환가료율,미화환산율
 2017-01-02 ,"1,229.64","1,187.36","1,220.30","1,196.70","1,223.00","1,195.83","1,208.50",0.00,2.6216,1.0000
 2017-01-03 ,"1,228.93","1,186.67","1,219.60","1,196.00","1,222.29","1,195.13","1,207.80",-0.70,2.6216,1.0000
 2017-01-04 ,"1,227.30","1,185.10","1,218.00","1,194.40","1,220.67","1,193.53","1,206.20",-1.60,2.6233,1.0000
 2017-01-05 ,"1,227.81","1,185.59","1,218.50","1,194.90","1,221.18","1,194.03","1,206.70",0.50,2.6155,1.0000
 2017-01-06 ,"1,212.45","1,170.75","1,203.20","1,180.00","1,205.89","1,179.14","1,191.60",-15.10,2.6155,1.0000
 2017-01-09 ,"1,209.90","1,168.30","1,200.70","1,177.50","1,203.36","1,176.64","1,189.10",-2.50,2.6133,1.0000
 2017-01-10 ,"1,226.59","1,184.41","1,217.30","1,193.70","1,219.96","1,192.83","1,205.50",16.40,2.6133,1.0000
 2017-01-11 ,"1,219.67","1,177.73","1,210.40","1,187.00","1,213.08","1,186.13","1,198.70",-6.80,2.6150,1.0000
 2017-01-12 ,"1,217.33","1,175.47","1,208.10","1,184.70","1,210.75","1,183.84","1,196.40",-2.30,2.6172,1.0000
 2017-01-13 ,"1,203.49","1,162.11","1,194.30","1,171.30","1,196.99","1,170.45","1,182.80",-13.60,2.6172,1.0000
 2017-01-16 ,"1,198.30","1,157.10","1,189.20","1,166.20","1,191.83","1,165.35","1,177.70",-5.10,2.6183,1.0000
 2017-01-17 ,"1,201.15","1,159.85","1,192.00","1,169.00","1,194.66","1,168.15","1,180.50",2.80,2.6177,1.0000
 2017-01-18 ,"1,201.56","1,160.24","1,192.40","1,169.40","1,195.07","1,168.55","1,180.90",0.40,2.6194,1.0000
 2017-01-19 ,"1,185.99","1,145.21","1,177.00","1,154.20","1,179.58","1,153.36","1,165.60",-15.30,2.6266,1.0000
 2017-01-20 ,"1,197.69","1,156.51","1,188.60","1,165.60","1,191.22","1,164.75","1,177.10",11.50,2.6263,1.0000
 2017-01-23 ,"1,193.01","1,151.99","1,183.90","1,161.10","1,186.57","1,160.25","1,172.50",-4.60,2.6252,1.0000
 2017-01-24 ,"1,187.11","1,146.29","1,178.10","1,155.30","1,180.70","1,154.46","1,166.70",-5.80,2.6211,1.0000
 2017-01-25 ,"1,183.96","1,143.24","1,175.00","1,152.20","1,177.56","1,151.36","1,163.60",-3.10,2.6233,1.0000
 2017-01-26 ,"1,186.60","1,145.80","1,177.60","1,154.80","1,180.19","1,153.95","1,166.20",2.60,2.6261,1.0000
 2017-01-31 ,"1,178.06","1,137.54","1,169.10","1,146.50","1,171.69","1,145.66","1,157.80",-8.40,2.6300,1.0000
 2017-02-01 ,"1,185.89","1,145.11","1,176.90","1,154.10","1,179.48","1,153.25","1,165.50",7.70,2.6294,1.0000
 2017-02-02 ,"1,175.41","1,134.99","1,166.50","1,143.90","1,169.06","1,143.06","1,155.20",-10.30,2.6300,1.0000
 2017-02-03 ,"1,169.31","1,129.09","1,160.40","1,138.00","1,162.99","1,137.17","1,149.20",-6.00,2.6266,1.0000
 2017-02-06 ,"1,166.86","1,126.74","1,158.00","1,135.60","1,160.56","1,134.77","1,146.80",-2.40,2.6255,1.0000
 2017-02-07 ,"1,157.60","1,117.80","1,148.80","1,126.60","1,151.35","1,125.78","1,137.70",-9.10,2.6252,1.0000
 2017-02-08 ,"1,162.08","1,122.12","1,153.20","1,131.00","1,155.80","1,130.17","1,142.10",4.40,2.6227,1.0000
 2017-02-09 ,"1,165.44","1,125.36","1,156.60","1,134.20","1,159.14","1,133.37","1,145.40",3.30,2.6216,1.0000
 2017-02-10 ,"1,165.74","1,125.66","1,156.90","1,134.50","1,159.44","1,133.67","1,145.70",0.30,2.6205,1.0000
 2017-02-13 ,"1,171.54","1,131.26","1,162.60","1,140.20","1,165.21","1,139.37","1,151.40",5.70,2.6211,1.0000
 2017-02-14 ,"1,172.05","1,131.75","1,163.10","1,140.70","1,165.72","1,139.87","1,151.90",0.50,2.6200,1.0000
 2017-02-15 ,"1,164.52","1,124.48","1,155.70","1,133.30","1,158.23","1,132.47","1,144.50",-7.40,2.6200,1.0000
 2017-02-16 ,"1,161.57","1,121.63","1,152.70","1,130.50","1,155.29","1,129.67","1,141.60",-2.90,2.6222,1.0000
