년/월/일,종가,대비,등락률(%),시가,고가,저가,거래량(천주),거래대금(원),상장시가총액(원)
2017-06-30,"2,391.79",-3.87,-0.16,"2,382.15","2,391.81","2,381.40","343,530","5,100,038,352,486","1,549,261,008,077,590"
2017-06-29,"2,395.66",13.1,0.55,"2,396.81","2,402.80","2,393.57","445,132","5,519,870,970,857","1,552,287,489,954,070"
2017-06-28,"2,382.56",-9.39,-0.39,"2,382.91","2,390.89","2,380.75","361,177","6,018,052,880,850","1,543,678,168,909,650"
2017-06-27,"2,391.95",3.29,0.14,"2,386.76","2,397.14","2,383.47","358,034","6,473,501,689,058","1,550,600,183,612,500"
2017-06-26,"2,388.66",10.06,0.42,"2,381.09","2,390.70","2,377.88","325,674","5,213,753,592,353","1,548,384,048,586,650"
2017-06-23,"2,378.60",8.23,0.35,"2,371.54","2,380.94","2,369.17","256,259","5,863,390,115,241","1,541,919,022,497,920"
2017-06-22,"2,370.37",12.84,0.54,"2,364.22","2,370.39","2,354.10","299,232","6,829,006,992,193","1,536,651,532,087,460"
2017-06-21,"2,357.53",-11.7,-0.49,"2,358.23","2,359.97","2,346.19","360,345","6,466,059,804,119","1,528,474,846,712,330"
2017-06-20,"2,369.23",-1.67,-0.07,"2,382.54","2,382.54","2,365.45","360,734","7,143,556,168,687","1,536,241,744,989,960"
2017-06-19,"2,370.90",9.07,0.38,"2,364.02","2,377.20","2,356.84","290,945","5,421,942,334,517","1,536,693,703,623,710"
2017-06-16,"2,361.83",0.18,0.01,"2,364.20","2,365.37","2,355.29","329,179","5,965,449,677,300","1,530,672,371,039,290"
2017-06-15,"2,361.65",-10.99,-0.46,"2,373.36","2,378.04","2,350.37","334,886","5,882,836,429,604","1,530,333,176,863,610"
2017-06-14,"2,372.64",-2.06,-0.09,"2,384.54","2,387.29","2,366.92","392,998","6,795,164,772,931","1,537,387,889,945,620"
2017-06-13,"2,374.70",16.83,0.71,"2,358.92","2,375.81","2,358.92","322,082","5,665,179,059,115","1,538,262,977,855,960"
2017-06-12,"2,357.87",-23.82,-1,"2,370.69","2,374.70","2,353.35","327,234","5,782,163,961,238","1,527,605,655,532,140"
2017-06-09,"2,381.69",18.12,0.77,"2,371.22","2,385.15","2,367.81","520,558","7,227,366,441,198","1,542,997,367,884,130"
2017-06-08,"2,363.57",3.43,0.15,"2,361.64","2,365.52","2,347.62","417,080","8,406,803,460,863","1,530,882,223,694,250"
2017-06-07,"2,360.14",-8.48,-0.36,"2,364.96","2,369.43","2,356.71","376,208","6,272,489,514,868","1,528,313,191,717,920"
2017-06-05,"2,368.62",-3.1,-0.13,"2,376.66","2,376.83","2,363.61","326,412","5,196,274,352,105","1,533,778,730,345,500"
2017-06-02,"2,371.72",27.11,1.16,"2,353.77","2,372.65","2,353.45","399,499","6,157,841,505,610","1,535,433,298,027,340"
2017-06-01,"2,344.61",-2.77,-0.12,"2,348.31","2,351.31","2,335.63","336,691","5,389,573,512,914","1,517,531,128,290,640"
2017-05-31,"2,347.38",3.7,0.16,"2,339.25","2,355.23","2,338.25","555,939","8,244,271,511,924","1,519,224,318,667,740"
2017-05-30,"2,343.68",-9.29,-0.39,"2,356.54","2,358.69","2,332.16","508,844","5,623,193,249,286","1,516,704,036,339,790"
2017-05-29,"2,352.97",-2.33,-0.1,"2,362.59","2,371.67","2,344.25","316,178","5,628,670,901,344","1,523,018,713,425,980"
2017-05-26,"2,355.30",12.37,0.53,"2,344.39","2,364.80","2,341.61","312,902","6,152,560,451,570","1,524,825,781,888,040"
2017-05-25,"2,342.93",25.59,1.1,"2,325.49","2,343.72","2,321.26","369,280","6,263,938,027,268","1,516,672,031,532,860"
